model,lambda,step,l2
3,0.2,3500,540.153312
3,0.2,3600,466.794091
3,0.2,3700,401.79089
3,0.2,3800,344.613114
3,0.2,3900,294.630213
3,0.2,4000,251.170909
3,0.2,4100,213.562298
3,0.2,4200,181.154408
3,0.2,4300,153.334819
3,0.2,4400,129.536754
3,0.2,4500,109.242907
3,0.2,4600,91.986482
3,0.2,4700,77.350358
3,0.2,4800,64.965002
3,0.2,4900,54.50554
3,0.2,5000,45.688308
3,0.2,5100,38.267136
3,0.2,5200,32.029548
3,0.2,5300,26.793026
3,0.2,5400,22.401444
3,0.2,5500,18.72174
3,0.2,5600,15.640873
3,0.2,5700,13.063073
3,0.2,5800,10.907396
3,0.2,5900,9.105571
3,0.2,6000,7.600115
3,0.2,6100,6.342705
3,0.2,6200,5.292766
3,0.2,6300,4.416269
3,0.2,6400,3.684705
3,0.2,6500,3.074202
3,0.2,6600,2.56479
3,0.2,6700,2.13977
3,0.2,6800,1.785189
3,0.2,6900,1.489386
3,0.2,7000,1.242628
3,0.2,7100,1.036785
3,0.2,7200,0.865075
3,0.2,7300,0.721835
3,0.2,7400,0.602344
3,0.2,7500,0.502662
3,0.2,7600,0.4195
3,0.2,7700,0.350119
3,0.2,7800,0.292231
3,0.2,7900,0.243931
3,0.2,8000,0.203628
3,0.2,8100,0.169995
3,0.2,8200,0.141927
3,0.2,8300,0.118502
3,0.2,8400,0.09895
3,0.2,8500,0.08263
3,0.2,8600,0.069006
3,0.2,8700,0.057632
3,0.2,8800,0.048136
3,0.2,8900,0.040207
3,0.2,9000,0.033587
3,0.2,9100,0.028058
3,0.2,9200,0.023441
3,0.2,9300,0.019584
3,0.2,9400,0.016363
3,0.2,9500,0.013673
3,0.2,9600,0.011425
3,0.2,9700,0.009548
3,0.2,9800,0.007979
3,0.2,9900,0.006668
3,0.2,10000,0.005573
3,0.2,10100,0.004658
3,0.2,10200,0.003893
3,0.2,10300,0.003254
3,0.2,10400,0.00272
3,0.2,10500,0.002274
3,0.2,10600,0.001901
3,0.2,10700,0.001589
3,0.2,10800,0.001328
3,0.2,10900,0.001111
3,0.2,10959,0.000999
3,0.3,0,3309.047216
3,0.3,100,2593.958122
3,0.3,200,2151.284138
3,0.3,300,1838.594218
3,0.3,400,1606.277607
3,0.3,500,1434.273319
3,0.3,600,1309.547529
3,0.3,700,1221.56616
3,0.3,800,1162.527001
3,0.3,900,1127.497375
3,0.3,1000,1114.034738
3,0.3,1100,1121.450588
3,0.3,1200,1149.826752
3,0.3,1300,1198.916583
3,0.3,1400,1267.158337
3,0.3,1500,1351.103239
3,0.3,1600,1445.475105
3,0.3,1700,1543.815533
3,0.3,1800,1639.391929
3,0.3,1900,1725.967985
3,0.3,2000,1798.221445
3,0.3,2100,1851.860725
3,0.3,2200,1883.621732
3,0.3,2300,1891.289576
3,0.3,2400,1873.788051
3,0.3,2500,1831.297297
3,0.3,2600,1765.32288
3,0.3,2700,1678.643828
3,0.3,2800,1575.101894
3,0.3,2900,1459.244619
3,0.3,3000,1335.881648
3,0.3,3100,1209.639335
3,0.3,3200,1084.594271
3,0.3,3300,964.037444
3,0.3,3400,850.381745
3,0.3,3500,745.192163
3,0.3,3600,649.299165
3,0.3,3700,562.952427
3,0.3,3800,485.979714
3,0.3,3900,417.92808
3,0.3,4000,358.176739
3,0.3,4100,306.02008
3,0.3,4200,260.724617
3,0.3,4300,221.565792
3,0.3,4400,187.85045
3,0.3,4500,158.929768
