model,gamma,step,l2
4,0.1,1900,287.949301
4,0.1,2000,251.128459
4,0.1,2100,217.48284
4,0.1,2200,187.131608
4,0.1,2300,160.098084
4,0.1,2400,136.299374
4,0.1,2500,115.561635
4,0.1,2600,97.64701
4,0.1,2700,82.28171
4,0.1,2800,69.179678
4,0.1,2900,58.05996
4,0.1,3000,48.658041
4,0.1,3100,40.732261
4,0.1,3200,34.06664
4,0.1,3300,28.47128
4,0.1,3400,23.781251
4,0.1,3500,19.85464
4,0.1,3600,16.570205
4,0.1,3700,13.824925
4,0.1,3800,11.531632
4,0.1,3900,9.616805
4,0.1,4000,8.018592
4,0.1,4100,6.685056
4,0.1,4200,5.572649
4,0.1,4300,4.644902
4,0.1,4400,3.871302
4,0.1,4500,3.226336
4,0.1,4600,2.688686
4,0.1,4700,2.240545
4,0.1,4800,1.867046
4,0.1,4900,1.555783
4,0.1,5000,1.296403
4,0.1,5100,1.080268
4,0.1,5200,0.900177
4,0.1,5300,0.750122
4,0.1,5400,0.625098
4,0.1,5500,0.52093
4,0.1,5600,0.434138
4,0.1,5700,0.361824
4,0.1,5800,0.301572
4,0.1,5900,0.251368
4,0.1,6000,0.209535
4,0.1,6100,0.174677
4,0.1,6200,0.145628
4,0.1,6300,0.12142
4,0.1,6400,0.101245
4,0.1,6500,0.084429
4,0.1,6600,0.070412
4,0.1,6700,0.058728
4,0.1,6800,0.048988
4,0.1,6900,0.040867
4,0.1,7000,0.034095
4,0.1,7100,0.028449
4,0.1,7200,0.02374
4,0.1,7300,0.019812
4,0.1,7400,0.016536
4,0.1,7500,0.013803
4,0.1,7600,0.011523
4,0.1,7700,0.009621
4,0.1,7800,0.008033
4,0.1,7900,0.006708
4,0.1,8000,0.005603
4,0.1,8100,0.004679
4,0.1,8200,0.003909
4,0.1,8300,0.003265
4,0.1,8400,0.002728
4,0.1,8500,0.002279
4,0.1,8600,0.001905
4,0.1,8700,0.001592
4,0.1,8800,0.00133
4,0.1,8900,0.001112
4,0.1,8960,0.000998
4,0.2,0,3301.484401
4,0.2,100,2220.698706
4,0.2,200,1600.40974
4,0.2,300,1199.799068
4,0.2,400,942.056716
4,0.2,500,763.611566
4,0.2,600,627.858729
4,0.2,700,514.641615
4,0.2,800,415.079418
4,0.2,900,326.940403
4,0.2,1000,250.330403
4,0.2,1100,186.405515
4,0.2,1200,135.676193
4,0.2,1300,97.13824
4,0.2,1400,68.779523
4,0.2,1500,48.351484
4,0.2,1600,33.836018
4,0.2,1700,23.609922
4,0.2,1800,16.444038
4,0.2,1900,11.439305
4,0.2,2000,7.951343
4,0.2,2100,5.52384
4,0.2,2200,3.835979
4,0.2,2300,2.663182
4,0.2,2400,1.848669
4,0.2,2500,1.283184
4,0.2,2600,0.890683
4,0.2,2700,0.618289
4,0.2,2800,0.42926
4,0.2,2900,0.298081
4,0.2,3000,0.207039
4,0.2,3100,0.143845
4,0.2,3200,0.099971
4,0.2,3300,0.069504
4,0.2,3400,0.04834
4,0.2,3500,0.033633
4,0.2,3600,0.023411
4,0.2,3700,0.016302
4,0.2,3800,0.011356
4,0.2,3900,0.007914
4,0.2,4000,0.005518
4,0.2,4100,0.003849
4,0.2,4200,0.002685
4,0.2,4300,0.001874
4,0.2,4400,0.001308
4,0.2,4475,0.001
4,0.3,0,3292.946183
4,0.3,100,1874.624928
4,0.3,200,1197.237011
4,0.3,300,844.179829
4,0.3,400,626.811085
4,0.3,500,462.489108
4,0.3,600,326.103435
4,0.3,700,215.948452
4,0.3,800,135.053278
4,0.3,900,81.376629
4,0.3,1000,48.045886
4,0.3,1100,28.074026
4,0.3,1200,16.31849
4,0.3,1300,9.459574
4,0.3,1400,5.475335
4,0.3,1500,3.166494
4,0.3,1600,1.830427
4,0.3,1700,1.057948
4,0.3,1800,0.611537
4,0.3,1900,0.353607
4,0.3,2000,0.204567
4,0.3,2100,0.118421
4,0.3,2200,0.068605
4,0.3,2300,0.039779
4,0.3,2400,0.023085
4,0.3,2500,0.01341
4,0.3,2600,0.007797
4,0.3,2700,0.004537
4,0.3,2800,0.002643
4,0.3,2900,0.00154
4,0.3,2981,0.000995
4,0.4,0,3284.426541
4,0.4,100,1593.325783
4,0.4,200,938.450242
4,0.4,300,625.764482
4,0.4,400,413.348576
4,0.4,500,248.731076
4,0.4,600,134.43064
4,0.4,700,67.982037
4,0.4,800,33.377407
4,0.4,900,16.19356
4,0.4,1000,7.818014
4,0.4,1100,3.766029
4,0.4,1200,1.812319
4,0.4,1300,0.871925
4,0.4,1400,0.419632
4,0.4,1500,0.202118
4,0.4,1600,0.097464
4,0.4,1700,0.047065
4,0.4,1800,0.022764
4,0.4,1900,0.011028
4,0.4,2000,0.005352
4,0.4,2100,0.002601
4,0.4,2200,0.001266
4,0.4,2233,0.000998
5,0.1,0,3308.153416
5,0.1,100,2560.358385
5,0.1,200,2098.736565
5,0.1,300,1754.409821
5,0.1,400,1485.988136
5,0.1,500,1277.86965
5,0.1,600,1117.101296
5,0.1,700,991.405225
5,0.1,800,890.598682
5,0.1,900,807.188948
5,0.1,1000,735.948083
5,0.1,1100,673.197191
5,0.1,1200,616.286408
5,0.1,1300,563.341045
5,0.1,1400,513.162711
5,0.1,1500,465.164685
5,0.1,1600,419.254204
5,0.1,1700,375.630577
5,0.1,1800,334.548347
5,0.1,1900,296.157196
5,0.1,2000,260.493126
5,0.1,2100,227.563766
5,0.1,2200,197.408178
5,0.1,2300,170.084872
5,0.1,2400,145.624194
5,0.1,2500,123.990717
5,0.1,2600,105.07251
5,0.1,2700,88.692045
5,0.1,2800,74.627255
5,0.1,2900,62.63369
5,0.1,3000,52.462961
5,0.1,3100,43.875941
5,0.1,3200,36.651014
5,0.1,3300,30.588362
5,0.1,3400,25.511434
5,0.1,3500,21.266572
5,0.1,3600,17.721554
5,0.1,3700,14.763565
5,0.1,3800,12.296969
5,0.1,3900,10.241085
5,0.1,4000,8.528096
5,0.1,4100,7.101149
5,0.1,4200,5.912679
5,0.1,4300,4.922949
5,0.1,4400,4.098796
5,0.1,4500,3.412562
5,0.1,4600,2.841193
5,0.1,4700,2.365481
5,0.1,4800,1.969423
5,0.1,4900,1.639689
5,0.1,5000,1.365177
5,0.1,5100,1.136644
5,0.1,5200,0.946389
5,0.1,5300,0.788003
5,0.1,5400,0.656147
5,0.1,5500,0.546377
5,0.1,5600,0.454992
5,0.1,5700,0.378912
5,0.1,5800,0.315572
5,0.1,5900,0.262837
5,0.1,6000,0.21893
5,0.1,6100,0.182371
5,0.1,6200,0.15193
5,0.1,6300,0.12658
5,0.1,6400,0.105469
5,0.1,6500,0.087888
5,0.1,6600,0.073244
5,0.1,6700,0.061046
5,0.1,6800,0.050885
5,0.1,6900,0.04242
5,0.1,7000,0.035366
5,0.1,7100,0.029489
5,0.1,7200,0.024592
5,0.1,7300,0.02051
5,0.1,7400,0.017107
5,0.1,7500,0.014271
5,0.1,7600,0.011906
5,0.1,7700,0.009935
5,0.1,7800,0.00829
5,0.1,7900,0.006919
5,0.1,8000,0.005775
5,0.1,8100,0.004821
5,0.1,8200,0.004025
5,0.1,8300,0.003361
5,0.1,8400,0.002807
5,0.1,8500,0.002344
5,0.1,8600,0.001958
5,0.1,8700,0.001635
5,0.1,8800,0.001366
5,0.1,8900,0.001141
5,0.1,8974,0.000999
5,0.2,0,3297.716666
5,0.2,100,2093.72227
5,0.2,200,1482.345194
5,0.2,300,1114.611825
5,0.2,400,888.925826
5,0.2,500,734.735319
5,0.2,600,615.304098
5,0.2,700,512.269146
5,0.2,800,418.388135
5,0.2,900,333.715215
5,0.2,1000,259.710915
5,0.2,1100,196.69082
5,0.2,1200,144.993087
5,0.2,1300,104.544598
5,0.2,1400,74.204836
5,0.2,1500,52.136082
5,0.2,1600,36.403958
5,0.2,1700,25.327684
5,0.2,1800,17.586364
5,0.2,1900,12.198233
5,0.2,2000,8.456346
5,0.2,2100,5.860726
5,0.2,2200,4.061277
5,0.2,2300,2.814155
5,0.2,2400,1.949972
5,0.2,2500,1.351206
5,0.2,2600,0.936368
5,0.2,2700,0.648968
5,0.2,2800,0.449855
5,0.2,2900,0.3119
5,0.2,3000,0.216307
5,0.2,3100,0.150058
5,0.2,3200,0.104134
5,0.2,3300,0.072292
5,0.2,3400,0.050207
5,0.2,3500,0.034884
5,0.2,3600,0.024248
5,0.2,3700,0.016863
5,0.2,3800,0.011732
5,0.2,3900,0.008167
5,0.2,4000,0.005687
5,0.2,4100,0.003962
5,0.2,4200,0.002762
5,0.2,4300,0.001926
5,0.2,4400,0.001344
5,0.2,4483,0.000997
5,0.3,0,3287.305989
5,0.3,100,1745.901378
5,0.3,200,1112.126379
5,0.3,300,804.377416
5,0.3,400,614.321719
5,0.3,500,463.408649
5,0.3,600,332.880749
5,0.3,700,226.058949
5,0.3,800,144.362117
5,0.3,900,87.743801
5,0.3,1000,51.810225
5,0.3,1100,30.162433
5,0.3,1200,17.451859
5,0.3,1300,10.073147
5,0.3,1400,5.809104
5,0.3,1500,3.349067
5,0.3,1600,1.930667
5,0.3,1700,1.11307
5,0.3,1800,0.64185
5,0.3,1900,0.370264
5,0.3,2000,0.213709
5,0.3,2100,0.123434
5,0.3,2200,0.071351
5,0.3,2300,0.041282
5,0.3,2400,0.023908
5,0.3,2500,0.013861
5,0.3,2600,0.008044
5,0.3,2700,0.004674
5,0.3,2800,0.002718
5,0.3,2900,0.001582
5,0.3,2985,0.001
5,0.4,0,3276.921634
5,0.4,100,1475.062594
5,0.4,200,885.589827
5,0.4,300,613.339228
5,0.4,400,416.651325
5,0.4,500,258.14359
5,0.4,600,143.731296
5,0.4,700,73.362855
5,0.4,800,35.912718
5,0.4,900,17.318038
5,0.4,1000,8.314134
5,0.4,1100,3.986999
5,0.4,1200,1.911507
5,0.4,1300,0.916572
5,0.4,1400,0.439717
5,0.4,1500,0.211137
5,0.4,1600,0.101505
5,0.4,1700,0.048873
5,0.4,1800,0.023573
5,0.4,1900,0.011391
5,0.4,2000,0.005515
