model,graph,factor,time1,time2,total_time,final_step,final_l2,gamma,lambda,budget,max_step,tolerance,thread_count,num_nodes,num_edges
3, adjacency_list, global_spillover, 0.416451, 0.910398, 1.326850, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
4, compressed_sparse_row, uniform, nan, 0.729162, 0.729162, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000057, 0.730149, 0.730206, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.393228, 0.901288, 1.294516, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 12, 4416, 13760
1, adjacency_list, uniform, nan, 1.097954, 1.097954, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
2, adjacency_list, local_spillover, 0.000080, 1.091081, 1.091161, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
3, adjacency_list, global_spillover, 0.333424, 1.344016, 1.677440, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.088506, 1.088506, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000079, 1.090792, 1.090871, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.320570, 1.347076, 1.667646, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
1, adjacency_list, uniform, nan, 1.108977, 1.108977, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
2, adjacency_list, local_spillover, 0.000080, 1.098455, 1.098535, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
3, adjacency_list, global_spillover, 0.334879, 1.359021, 1.693900, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.098079, 1.098079, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000080, 1.100070, 1.100150, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.319867, 1.357838, 1.677704, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
1, adjacency_list, uniform, nan, 1.113204, 1.113204, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
2, adjacency_list, local_spillover, 0.000083, 1.098806, 1.098889, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
3, adjacency_list, global_spillover, 0.336815, 1.356351, 1.693166, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.099157, 1.099157, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000082, 1.100509, 1.100591, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.321152, 1.358296, 1.679448, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 14, 4416, 13760
1, adjacency_list, uniform, nan, 1.119687, 1.119687, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
2, adjacency_list, local_spillover, 0.000082, 1.091087, 1.091169, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
3, adjacency_list, global_spillover, 0.291374, 1.346052, 1.637426, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.100624, 1.100624, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000080, 1.102601, 1.102682, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.277420, 1.362503, 1.639923, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
1, adjacency_list, uniform, nan, 1.131573, 1.131573, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
2, adjacency_list, local_spillover, 0.000079, 1.092940, 1.093019, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
3, adjacency_list, global_spillover, 0.293894, 1.381629, 1.675523, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.129031, 1.129031, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000081, 1.130625, 1.130706, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.280610, 1.396099, 1.676710, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
1, adjacency_list, uniform, nan, 1.199481, 1.199481, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
2, adjacency_list, local_spillover, 0.000083, 1.126016, 1.126099, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
3, adjacency_list, global_spillover, 0.293603, 1.426078, 1.719681, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
4, compressed_sparse_row, uniform, nan, 1.158675, 1.158675, 8960, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
5, compressed_sparse_row, local_spillover, 0.000086, 1.160287, 1.160374, 8974, 0.000999, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
6, compressed_sparse_row, global_spillover, 0.278915, 1.432566, 1.711482, 11080, 0.000998, 0.1000, 0.2500, 100.0000, 100000, 0.001000, 16, 4416, 13760
